#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTDESCdynasty.37;The great council is finally over, with every important noble in the realm having had their say. The votes have been counted and [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been declared the winner! [FromFrom.GetSheHeCap] is immediately presented before the assembled lords in a grand ceremony, and is formally named heir to [From.PrimaryTitle.GetName] by [From.GetTitle] [From.GetFirstName].;Le grand conseil est finalement terminé, tous les nobles importants du royaume ont pu donner leur opinion. Le décompte des votes a été effectué et [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] est déclaré vainqueur. [FromFrom.GetSheHeCap] est présenté immédiatement devant les nobles assemblés lors d'une grande cérémonie et est officiellement nommé héritier de [Root.PrimaryTitle.GetName] par [From.GetTitle] [From.GetFirstName].;;;El Gran Consejo ha finalizado, todos los Señores del Reino han podido dar su opinión. El recuento de los votos ha acabado y [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ha sido declarado vencedor. [FromFrom.GetSheHeCap] se ha reunido inmediatamente ante los nobles en una gran ceremonia y ha sido oficialmente nombrado heredero de [Root.PrimaryTitle.GetName] por [From.GetTitle] [From.GetFirstName].;;;;;;;;;x
EVTOPTAdynasty.37;A worthy new heir;Un nouvel héritier de grande valeur;;;Un nuevo heredero de gran valor;;;;;;;;;x
opinion_disinherited_me_great_council;Disinherited At Great Council;A perdu son héritage lors du Grand Conseil;;;Desheredado en un Gran Consejo;;;;;;;;;x
great_council_heir;Voted as Heir at Great Council;Elu héritier lors du Grand Conseil;;;Elegido heredero en un Gran Consejo;;;;;;;;;x
EVTDESCdynasty.40;When your time came to speak, your arguments in favour of [FromFrom.GetTitledFirstName] were most convincing it seems, for your speech roused many cheers of support and shouts of assent. You used your words well and they carried great authority, many on the council seemed to be persuaded in favour of [FromFrom.GetFirstName].;Lorsque le temps fut venu de vous exprimer, vous avez exposé vos arguments en faveur de [FromFrom.GetTitledFirstName] dans un discours convaincant et inspirant qui recueillit un grand nombre de soutien et d'approbation. Vous avez su vous exprimer avec justesse et vigueur et vous avez fait montre d'une belle autorité, de nombreux participants ont été convaincus de voter en faveur de [FromFrom.GetFirstName].;;;Cuando llegó el momento para hablar, expusiste tus argumentos en favor de [FromFrom.GetTitledFirstName] en un discurso convincente e inspirador que recabó un gran número de apoyos y aprobación. Has sabido expresarte con justicia y vigor y has demostrado autoridad, numerosos participantes han sido convencidos de votar a favor de [FromFrom.GetFirstName].;;;;;;;;;x
EVTOPTAdynasty.40;People respect my views;Les gens respectent mes vues.;;;La gente respeta mis opiniones.;;;;;;;;;x
TOOLTIPgreat_councilPERSUADE;[This.GetTitledFirstName] [This.GetOnlyDynastyName] was persuaded in favour of [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName]\n;[This.GetTitledFirstName] [This.GetOnlyDynastyName] a été persuadé de donner sa voix en faveur de [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName]\n;;;[This.GetTitledFirstName] [This.GetOnlyDynastyName] ha sido persuadido para votar en favor de [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName]\n;;;;;;;;;x
TOOLTIPgreat_councilPERSUADEB;[This.GetTitledFirstName] [This.GetOnlyDynastyName] was persuaded in favour of [FromFromFrom.GetTitledFirstName] [FromFromFrom.GetOnlyDynastyName]\n;[This.GetTitledFirstName] [This.GetOnlyDynastyName] a été persuadé de donner sa voix en faveur de [FromFromFrom.GetTitledFirstName] [FromFromFrom.GetOnlyDynastyName]\n;;;[This.GetTitledFirstName] [This.GetOnlyDynastyName] ha sido persuadido para votar en favor de [FromFromFrom.GetTitledFirstName] [FromFromFrom.GetOnlyDynastyName]\n;;;;;;;;;x
EVTDESCdynasty.41;As a vassal of note, when you came to speak the council listened intently. Your arguments in favour of [FromFrom.GetTitledFirstName] seemed to resonate with many, with some on the council giving audible shouts of agreement. Still, many sat in silence, with division amongst the council still evident.;Lorsque votre tour fut venu de prendre la parole au conseil, tous se mirent à écouter étant donné votre statut de vassal sur lequel il faut compter. Vos arguments en faveur de [FromFrom.GetTitledFirstName] ont semblé convaincre de nombreux participants qui n'ont pas hésité à faire entendre leur accord. Néanmoins certains sont restés silencieux, démontrant que les divisions au sein du conseil étaient toujours bien vivaces.;;;En tu turno de palabra en el Gran Consejo, todos escucharon tu discurso dada tu condición de vasallo a tener en cuenta. Tus argumentos en favor de [FromFrom.GetTitledFirstName] parecieron convencer a numerosos participantes que no dudaron en expresar su acuerdo. Sin embargo, algunos se quedaron en silencio, lo que demuestra que las divisiones en el seno del Gran Consejo estaban todavía muy vivas.;;;;;;;;;x
EVTOPTAdynasty.41;Some will take note of what i said;Certains prendront note de ce que j'ai dit. ;;;Algunos tomarán nota de lo que dije.;;;;;;;;;x
EVTDESCdynasty.42;As a high ranking noble you of course had to speak, but it may of been better if you hadn't. Your rambling speech in favour [FromFrom.GetTitledFirstName] failed to rouse any cheering or much agreement. Some of your points were even openly ridiculed. By the end none of the council seemed persuaded any more in favour of [FromFrom.GetFirstName].;En tant que noble de haut rang vous deviez évidemment vous exprimer, mais il aurait mieux valu que vous n'en fassiez rien. Votre discours brouillon en faveur [FromFrom.GetTitledFirstName] n'est pas parvenu à convaincre les participants. Certains de vos arguments furent même ouvertement ridiculisés. A la fin, aucun membre du conseil ne semblait persuadé de soutenir [FromFrom.GetFirstName].;;;Como noble de alto rango por supuesto que tenías que hablar, pero habría sido mejor si no lo hubieras hecho. Tu confuso discurso en favor de [FromFrom.GetTitledFirstName] no logró despertar ningún acuerdo. Tus argumentos fueron ridiculizados, al término del discurso ningún miembro del Gran Consejo parecía persuadido para apoyar a [FromFrom.GetFirstName].;;;;;;;;;x
EVTOPTAdynasty.42;Best if I sit and be quiet now;Il vaut mieux m'asseoir et me taire désormais.;;;Lo mejor es que me siente y me esté callado.;;;;;;;;;x
EVTDESCdynasty.43;When [From.GetTitledFirstName] came to speak, [From.GetHerHis] arguments in favour of [FromFromFrom.GetTitledFirstName] were most convincing it seems, for [From.GetHerHis] speech roused many cheers of support and shouts of assent. [From.GetSheHeCap] used [From.GetHerHis] words well and they carried great authority, many on the council seemed to be persuaded in favour of [FromFromFrom.GetFirstName].;Lorsque [From.GetTitledFirstName] parla, ses arguments en faveur de [FromFromFrom.GetTitledFirstName] se montrèrent très convaincants et de nombreux participants l'acclamèrent bruyamment. [From.GetSheHeCap] a bien parlé et a fait montre d'une belle autorité, nombre de membres du conseil semblent avoir été convaincus de soutenir [FromFrom.GetFirstName].;;;Cuando [From.GetTitledFirstName] habló, sus argumentos en favor de [FromFromFrom.GetTitledFirstName] fueron muy convincentes y numerosos participantes lo aclamaron a gritos. [From.GetSheHeCap] habló bien y mostró una gran autoridad, y muchos miembros miembros del Gran Consejo parecían dispuestos a apoyar a [FromFrom.GetFirstName].;;;;;;;;;x
EVTDESCdynasty.44;As a vassal of note, when [From.GetTitledFirstName] came to speak the council listened intently. Their arguments in favour of [FromFromFrom.GetTitledFirstName] seemed to resonate with many, with some on the council giving audible shouts of agreement. Still, many sat in silence, with division amongst the council still evident.;Lorsque le tour de [From.GetTitledFirstName] fut venu de prendre la parole au conseil, tous se mirent à écouter étant donné son statut de vassal sur lequel il faut compter. Ses arguments en faveur de [FromFromFrom.GetTitledFirstName] ont semblé convaincre de nombreux participants qui n'ont pas hésité à faire entendre leur accord. Néanmoins certains sont restés silencieux, démontrant que les divisions au sein du conseil étaient toujours bien vivaces.;;;Cuando [From.GetTitledFirstName] tomó la palabra en el Gran Consejo, todos escucharon su discurso dada su condición de vasallo a tener en cuenta. Sus argumentos en favor de [FromFromFrom.GetTitledFirstName] parecieron convencer a numerosos participantes que no dudaron en expresar su acuerdo. Sin embargo, algunos se quedaron en silencio, lo que demuestra que las divisiones en el seno del Gran Consejo estaban todavía muy vivas.;;;;;;;;;x
EVTDESCdynasty.45;As a high ranking noble [From.GetTitledFirstName] of course had to speak, but it may of been better if [From.GetSheHe] hadn't. Their rambling speech in favour of [FromFromFrom.GetTitledFirstName] failed to rouse any cheering or much agreement. Some of [From.GetHerHis] points were even openly ridiculed. By the end none of the council seemed persuaded any more in favour of [FromFromFrom.GetFirstName].;En tant que noble de haut rang [From.GetTitledFirstName] devait évidemment s'exprimer, mais il aurait mieux valu qu'[From.GetSheHe] n'en fasse rien. Son discours brouillon en faveur de l'invasion planifiée par [Root.TopLiege.GetTitledFirstName] n'est pas parvenu à convaincre les participants. Certains de ses arguments furent même ouvertement ridiculisés. A la fin, aucun membre du conseil ne semblait persuadé de soutenir le projet.;;;Como noble de alto rango [From.GetTitledFirstName] por supuesto tenía que hablar, aunque mejor que no lo hubiera hecho. Su confuso discurso en favor de [FromFromFrom.GetTitledFirstName] no logró despertar ningún acuerdo. Sus argumentos fueron ridiculizados y al término del discurso ningún miembro del Gran Consejo parecía persuadido para apoyar a [FromFromFrom.GetFirstName].;;;;;;;;;x
EVTDESCdynasty.40SELF;When your time came to speak, your arguments in favour of yourself were most convincing it seems, for your speech roused many cheers of support and shouts of assent. You used your words well and they carried great authority, many on the council seemed to be persuaded in favour of your claim.;Lorsque le temps fut venu de vous exprimer, vos arguments pour soutenir votre candidature se montrèrent très convaincants et de nombreux participants vous acclamèrent bruyamment. Vous avez bien parlé et fait montre d'une belle autorité, nombre de membres du conseil semblent avoir été convaincus de voter en votre faveur.;;;Cuando llegó el momento para hablar, tus argumentos para apoyar tu candidatura fueron convincentes y numerosos participantes te aclamaron en gritos. Hablaste bien e hiciste gala de una gran autoridad, y numerosos participantes han sido convencidos de votar a tu favor.;;;;;;;;;x
EVTDESCdynasty.40FEMALE;You chose to back the female heir when your time came to speak, and your arguments in favour of [FromFrom.GetTitledFirstName] were most convincing it seems, for your speech roused many cheers of support and shouts of assent. You resolutely proclaimed nobody should be cast aside for just being a woman, and many were persuaded to agree.;Vous avez choisi de soutenir l'héritière et, lorsque le temps fut venu de vous exprimer, vos arguments pour soutenir [FromFrom.GetTitledFirstName] se montrèrent très convaincants et de nombreux participants vous acclamèrent bruyamment. Vous avez déclaré avec force que personne ne devrait être mis à l'écart parce qu'il s'agit d'une femme, et la plupart des participants ont été convaincus par votre discours. ;;;Elegiste apoyar a la heredera y, cuando llegó el momento de hablar, tus argumentos en apoyo de [FromFrom.GetTitledFirstName] fueron convincentes y numerosos participantes te aclamaron en gritos. Declaraste con vigor que nadie debería ser descartado por ser mujer, y la mayor parte de los participantes fueron convencidos por tu discurso. ;;;;;;;;;x
EVTDESCdynasty.40COGNATIC;Of course [FromFrom.GetTitledFirstName] should be heir by [Root.Culture.GetGroupName] law, and your forceful arguments to this effect were received by rounds of applause and much acclaim. You used your words well and they carried great authority, many on the council seemed to be persuaded in favour of [FromFrom.GetFirstName].;Il va de soi que [FromFrom.GetTitledFirstName] doit hériter de par les lois de [Root.Culture.GetGroupName], et vos arguments en ce sens ont reçu un grand nombre de soutien et d'approbation. Vous avez su vous exprimer avec justesse et vigueur et vous avez fait montre d'une belle autorité, de nombreux participants ont été convaincus de voter en faveur de [FromFrom.GetFirstName].;;;Es obvio que [FromFrom.GetTitledFirstName] debe heredar por la ley [Root.Culture.GetGroupName], y tus argumentos en ese sentido recibieron un gran número de apoyos y aprobación. Has sabido expresarte con justicia y vigor y has mostrado una gran autoridad. Por ello, numerosos participantes fueron convencidos de votar en favor de [FromFrom.GetFirstName].;;;;;;;;;x
EVTDESCdynasty.40MALE;When your time came to speak, your arguments in favour of [FromFrom.GetTitledFirstName] were most convincing it seems, for your speech roused many cheers of support and shouts of assent. You argued that only a man can rule over other men, and many of the assembled nobles agreed heartily with you.;Lorsque le temps fut venu de vous exprimer, vos arguments pour soutenir [FromFrom.GetTitledFirstName] se montrèrent très convaincants et de nombreux participants vous acclamèrent bruyamment. Vous avez déclaré que seul un homme peut diriger d'autres hommes et la plupart des participants ont été convaincus par votre discours. ;Lorsque le temps fut venu de vous exprimer, vos arguments pour soutenir [FromFrom.GetTitledFirstName] se montrèrent très convaincants et de nombreux participants vous acclamèrent bruyamment. Vous avez déclaré que seul un homme peut diriger d'autres hommes et la plupart des participants ont été convaincus par votre discours. ;Lorsque le temps fut venu de vous exprimer, vos arguments pour soutenir [FromFrom.GetTitledFirstName] se montrèrent très convaincants et de nombreux participants vous acclamèrent bruyamment. Vous avez déclaré que seul un homme peut diriger d'autres hommes et la plupart des participants ont été convaincus par votre discours. ;Cuando llegó el momento para hablar, tus argumentos para apoyar a [FromFrom.GetTitledFirstName] fueron convincentes y numerosos participantes te aclamaron a gritos. Declaraste que únicamente un hombre puede dirigir a otros hombres y la mayoría de los participantes fueron convencidos por tu discurso. ;;;;;;;;;x
